1715.3857	35.339	63235	4469	49.2
4319.7918	35.332	245329	4467	71.9
5320.9145	35.33	44444	4466	58
5298.9308	35.326	693358	4465	69.2
4542.6911	35.323	55819	4463	30.1
5909.0227	35.323	125387	4462	42.6
1500.7121	35.319	46380	4461	46.6
3001.9224	35.304	138939	4459	49.4
5925.0131	35.303	142225	4458	58.2
6002.3436	35.296	249737	4456	56.7
2340.3273	35.289	39047	4455	33.5
2315.9483	35.277	72468	4454	47.9
2403.7534	35.236	59420	4453	44.9
6588.1503	35.233	138555	4452	58.6
2265.6933	35.23	17503	4451	41.1
1868.3266	35.225	24168	4449	51.3
5606.2785	35.221	86485	4446	60.2
3206.8527	35.219	80605	4445	47.4
3858.2248	35.212	84335	4444	60
1623.5143	35.206	36891	4443	35.8
2842.9787	35.206	22329	4442	40.5
3793.8588	35.19	108702	4440	76.1
1623.6549	35.189	31331	4439	37.4
3791.5407	35.186	169893	4438	65.3
3794.1924	35.176	81792	4430	50
5619.9867	35.163	99384	4427	58.7
3789.9019	35.161	134529	4426	78.5
6591.3211	35.158	118131	4424	53.8
3790.2035	35.153	162251	4420	60
2255.5591	35.151	13692	4419	43.1
3806.2072	35.145	75733	4414	56.9
5620.9715	35.145	49161	4413	41.7
1441.9488	35.142	19091	4407	35.5
5614.3008	35.141	146374	4405	56.6
5603.9852	35.139	148905	4404	35
5768.2963	35.138	77487	4402	37.1
5987.6714	35.134	149354	4398	42.3
2995.0637	35.129	63045	4392	61.7
2952.4186	35.106	50134	4387	43.3
3803.8664	35.1	59565	4385	46.1
2333.4727	35.096	51093	4384	35.2
2994.5729	35.093	48487	4383	37.2
2337.1175	35.086	35415	4382	35
3751.1681	35.08	52690	4381	40.5
5830.834	35.08	47922	4380	58.5
2447.0601	35.077	21128	4379	36.4
5830.3363	35.032	32621	4376	36.5
2279.3258	35.021	51760	4375	34.3
2271.9173	35.012	75967	4374	59.6
5594.8193	34.974	52022	4373	42.3
1622.2307	34.957	25311	4370	53.6
5594.3496	34.882	33085	4368	35.7
5178.3787	34.756	34648	4349	39.5
4708.8005	34.608	167731	4347	80
4664.8388	34.606	4756748	4346	100
4686.8199	34.605	443972	4345	93.6
4753.7706	34.601	22202	4344	31.2
4730.7867	34.6	73981	4343	78.7
5599.1802	34.579	213211	4335	60
5599.7043	34.574	186741	4332	76.7
4953.0127	34.566	257302	4330	52.9
1155.3679	34.555	580850	4325	100
1177.3505	34.555	75924	4324	82.4
4953.4736	34.555	181551	4326	77.3
2264.2438	34.493	41852	4322	45.6
1730.7492	34.36	10383	4313	34.2
4359.8007	34.352	289735	4311	63.2
4971.8933	34.296	48598	4310	47.2
4792.8187	34.282	77874	4309	42.2
4991.8649	34.252	200926	4308	82.4
4969.8783	34.25	2303352	4307	100
5013.8467	34.243	77561	4306	60
4664.8207	34.205	479068	4303	55.8
3887.667	34.203	96907	4302	51.1
4680.8303	34.18	521294	4301	78.7
4034.6991	34.125	36523	4285	35.7
2397.8244	34.124	25162	4284	77.3
3990.7364	34.122	4968527	4281	100
4012.7195	34.122	157375	4282	74.1
3992.744	34.121	303092	4280	72.8
4513.5826	34.093	27715	4277	33.2
4721.7034	34.09	58376	4276	36.7
5264.2328	34.054	66890	4275	43.3
4492.8002	33.921	111307	4264	43
4500.6359	33.907	51271	4263	31.8
4985.9272	33.897	86844	4262	60
4490.4719	33.886	41007	4261	39.8
4867.2006	33.882	91127	4260	55.1
3685.6934	33.833	159564	4258	75.2
1521.3912	33.785	18597	4257	55.3
1228.5641	33.778	28555	4256	52.3
4365.8409	33.764	38199	4255	36.1
4619.245	33.736	49357	4254	54.4
1519.3917	33.731	14339	4253	62.5
1159.3517	33.69	89026	4247	76.3
3001.3312	33.687	28186	4245	32.2
5077.9	33.685	61136	4244	53.5
4981.8019	33.656	65074	4232	60
4001.4893	33.649	21579	4231	50
1521.5535	33.604	30067	4230	46.1
4848.1194	33.579	43955	4229	56.8
3311.7539	33.428	95579	4217	42.5
2363.3429	33.421	35255	4215	43
