958.1778	0.841	1732276	613	0.117	100
2642.3622	8.856	1721397	1883	0.217	100
2586.38	8.879	1719347	1896	0.22	100
4006.4507	19.329	1706773	2845	0.177	100
2218.2979	3.009	1706557	1292	0.364	97.8
3510.4951	20.542	1705988	2980	0.208	100
1882.2615	6.859	1703118	1689	0.247	99.8
3279.4435	15.841	1690227	2494	0.233	100
1944.2743	1.082	1659790	1095	0.098	100
11048.59	35.136	1651438	4399	0.204	80
2875.4026	24.846	1639288	3496	0.238	100
952.1651	0.8	1622877	583	0.078	90.6
682.0557	0.75	1621059	507	0.112	85.2
2908.3809	11.936	1619598	2169	0.244	100
3585.467	15.494	1612851	2476	0.258	100
5249.6958	20.605	1609784	2989	0.193	100
5990.6913	25.274	1608492	3560	0.345	100
358.0345	0.999	1600165	838	0.316	89.7
5321.799	28.119	1591580	3792	0.171	100
2694.4158	11.842	1590643	2155	0.194	100
2570.3205	6.958	1561527	1700	0.19	100
2240.3292	6.546	1539904	1650	0.314	96.2
5533.8091	28.451	1538582	3842	0.181	100
1436.3979	26.748	1504369	3661	0.268	99.7
4304.6272	23.391	1503055	3288	0.171	100
4599.6025	18.249	1502302	2753	0.221	81.3
11658.6776	35.364	1498752	4478	0.201	80
2602.3549	9.827	1495983	1983	0.239	100
2296.3313	10.08	1476811	2004	0.216	100
666.0891	0.902	1440229	670	0.129	100
2684.3019	9.548	1438615	1957	0.169	100
5765.8092	24.397	1435228	3438	0.209	80
1622.2312	4.434	1428136	1495	0.185	100
2378.2762	7.272	1426462	1722	0.16	100
914.2181	0.818	1423390	596	0.073	83.3
2934.4437	16.64	1420691	2585	0.198	100
3036.3197	13.246	1408139	2282	0.217	100
3182.4293	14.659	1400964	2399	0.274	80
2877.3855	12.748	1384417	2220	0.37	80
2016.2951	2.656	1377971	1243	0.337	94.6
588.112	29.772	1376148	3977	0.685	74.6
2836.3948	17.745	1368883	2697	0.241	100
9770.4112	33.961	1362331	4271	0.221	77.8
1967.2783	4.664	1358648	1512	0.289	100
